Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
golden-retriever-runners,GOLDEN RETRIEVER RUNNERS,<p>Premium athletic sneakers inspired by the loyal and energetic Golden Retriever. Features breathable mesh upper with golden accents and superior cushioning for all-day comfort.</p>,Puppy Sneakers,Apparel & Accessories > Shoes,Sneakers,"athletic, running, dog-themed",TRUE,Size,7,,,,,GOLDEN-RUN-7,400,,10,deny,manual,89.99,119.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,FALSE,Golden Retriever Runners | Puppy Sneakers,Premium athletic sneakers inspired by the loyal and energetic Golden Retriever. Features breathable mesh upper with golden accents and superior cushioning for a,212,male,adult,365275101829,new,TRUE,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,TRUE,,,TRUE,,,active
golden-retriever-runners,,,,,,,,,8,,,,,GOLDEN-RUN-8,400,,10,deny,manual,89.99,119.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
golden-retriever-runners,,,,,,,,,9,,,,,GOLDEN-RUN-9,400,,10,deny,manual,89.99,119.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
golden-retriever-runners,,,,,,,,,10,,,,,GOLDEN-RUN-10,400,,10,deny,manual,89.99,119.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
corgi-classics,CORGI CLASSICS,<p>Retro-inspired low-top sneakers celebrating the charming Corgi breed. Premium suede and canvas construction with signature short-leg proportioned sole design for maximum style.</p>,Puppy Sneakers,Apparel & Accessories > Shoes,Sneakers,"casual, retro, dog-themed",TRUE,Size,7,,,,,CORGI-CLS-7,380,,10,deny,manual,79.99,99.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,FALSE,Corgi Classics | Puppy Sneakers,Retro-inspired low-top sneakers celebrating the charming Corgi breed. Premium suede and canvas construction with signature short-leg proportioned sole design fo,212,male,adult,365275101829,new,TRUE,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,TRUE,,,TRUE,,,active
corgi-classics,,,,,,,,,8,,,,,CORGI-CLS-8,380,,10,deny,manual,79.99,99.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
corgi-classics,,,,,,,,,9,,,,,CORGI-CLS-9,380,,10,deny,manual,79.99,99.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
corgi-classics,,,,,,,,,10,,,,,CORGI-CLS-10,380,,10,deny,manual,79.99,99.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
husky-highs,HUSKY HIGHS,"<p>High-top performance sneakers designed with the Siberian Husky's endurance in mind. Weather-resistant materials, arctic-inspired colorway, and enhanced ankle support for urban adventures.</p>",Puppy Sneakers,Apparel & Accessories > Shoes,Sneakers,"high-top, performance, dog-themed",TRUE,Size,7,,,,,HUSKY-HIGH-7,450,,10,deny,manual,109.99,139.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,FALSE,Husky Highs | Puppy Sneakers,"High-top performance sneakers designed with the Siberian Husky's endurance in mind. Weather-resistant materials, arctic-inspired colorway, and enhanced ankle su",212,male,adult,365275101829,new,TRUE,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,TRUE,,,TRUE,,,active
husky-highs,,,,,,,,,8,,,,,HUSKY-HIGH-8,450,,10,deny,manual,109.99,139.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
husky-highs,,,,,,,,,9,,,,,HUSKY-HIGH-9,450,,10,deny,manual,109.99,139.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
husky-highs,,,,,,,,,10,,,,,HUSKY-HIGH-10,450,,10,deny,manual,109.99,139.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
beagle-bouncers,BEAGLE BOUNCERS,<p>Playful mid-top sneakers capturing the Beagle's boundless energy. Tri-color design with spring-loaded cushioning system and flexible sole for maximum bounce and comfort.</p>,Puppy Sneakers,Apparel & Accessories > Shoes,Sneakers,"mid-top, casual, dog-themed",TRUE,Size,7,,,,,BEAGLE-BNC-7,390,,10,deny,manual,84.99,109.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,FALSE,Beagle Bouncers | Puppy Sneakers,Playful mid-top sneakers capturing the Beagle's boundless energy. Tri-color design with spring-loaded cushioning system and flexible sole for maximum bounce and,212,male,adult,365275101829,new,TRUE,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,TRUE,,,TRUE,,,active
beagle-bouncers,,,,,,,,,8,,,,,BEAGLE-BNC-8,390,,10,deny,manual,84.99,109.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
beagle-bouncers,,,,,,,,,9,,,,,BEAGLE-BNC-9,390,,10,deny,manual,84.99,109.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
beagle-bouncers,,,,,,,,,10,,,,,BEAGLE-BNC-10,390,,10,deny,manual,84.99,109.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
pug-pumps,PUG PUMPS,"<p>Compact and stylish slip-on sneakers embodying the Pug's adorable personality. Breathable knit upper, easy slip-on design, and wrinkle-textured detailing. Perfect for quick walks and casual outings.</p>",Puppy Sneakers,Apparel & Accessories > Shoes,Sneakers,"slip-on, casual, dog-themed",TRUE,Size,7,,,,,PUG-PUMP-7,360,,10,deny,manual,69.99,89.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,FALSE,Pug Pumps | Puppy Sneakers,"Compact and stylish slip-on sneakers embodying the Pug's adorable personality. Breathable knit upper, easy slip-on design, and wrinkle-textured detailing. Perfe",212,male,adult,365275101829,new,TRUE,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,TRUE,,,TRUE,,,active
pug-pumps,,,,,,,,,8,,,,,PUG-PUMP-8,360,,10,deny,manual,69.99,89.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
pug-pumps,,,,,,,,,9,,,,,PUG-PUMP-9,360,,10,deny,manual,69.99,89.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
pug-pumps,,,,,,,,,10,,,,,PUG-PUMP-10,360,,10,deny,manual,69.99,89.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
dalmatian-dashers,DALMATIAN DASHERS,<p>Bold spotted design running shoes inspired by the iconic Dalmatian. Lightweight construction with responsive cushioning and signature 101-spot pattern for standout style on every run.</p>,Puppy Sneakers,Apparel & Accessories > Shoes,Sneakers,"running, athletic, dog-themed",TRUE,Size,7,,,,,DALM-DASH-7,410,,10,deny,manual,94.99,124.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,FALSE,Dalmatian Dashers | Puppy Sneakers,Bold spotted design running shoes inspired by the iconic Dalmatian. Lightweight construction with responsive cushioning and signature 101-spot pattern for stand,212,male,adult,365275101829,new,TRUE,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,TRUE,,,TRUE,,,active
dalmatian-dashers,,,,,,,,,8,,,,,DALM-DASH-8,410,,10,deny,manual,94.99,124.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
dalmatian-dashers,,,,,,,,,9,,,,,DALM-DASH-9,410,,10,deny,manual,94.99,124.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
dalmatian-dashers,,,,,,,,,10,,,,,DALM-DASH-10,410,,10,deny,manual,94.99,124.99,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
